codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
03150,"MATA TROPICAL ACR ACE BASE T 3,2L DECORA SEDA CORAL 08GY 26/190",GL,tinta_acrilica,2026-09-09T15:11:01Z,237.65,237.65
06203,"MATA TROPICAL ACR ACE BASE T 3,2L DECORA SEDA CORAL 08GY 26/190",GL,tinta_acrilica,2026-09-10T16:14:36Z,312.8174,254.02
06203,"MATA TROPICAL ACR ACE BASE T 3,2L DECORA SEDA CORAL 08GY 26/190",GL,tinta_acrilica,2026-09-12T13:40:59Z,285.7566,257.15
1379,MAZA ESMALTE SINTETICO BRANCO 900ML,UN,tinta_branca,2026-09-10T18:46:51Z,35.0,33.63
010472,MAZA ESMALTE SINTETICO BRANCO 900ML,UN,tinta_branca,2026-09-15T21:21:44Z,49.9,49.9
209854,MAZA PISO PREMIUM BRANCO 18L,UN,tinta_branca,2026-09-10T20:58:08Z,295.0,250.0
9459,"NACOR TINTA AC ECONOMICA - BL 15,0 LTS COR 000010-BRANCO LOT",BL,tinta_branca,2026-09-15T20:42:48Z,125.0,125.0
8301.000010.9,"NACOR TINTA ACRILICA ECONOMICA-BL 15,0 L COR 000010-BRANCO LOTE 95134292",Peca,tinta_acrilica,2026-09-09T19:10:24Z,119.0,119.0
8301.000010.9,"NACOR TINTA ACRILICA ECONOMICA-BL 15,0 L COR 000010-BRANCO LOTE 95134292",Peca,tinta_acrilica_branca,2026-09-09T19:10:24Z,119.0,119.0
8301.000010.9,"NACOR TINTA ACRILICA ECONOMICA-BL 15,0 L COR 000010-BRANCO LOTE 95134292",Peca,tinta_branca,2026-09-09T19:10:24Z,119.0,119.0
8301.000005.0,"NACOR TINTA ACRILICA ECONOMICA-GA 3,6 LT COR 000005-AREIA LOTE 95120014",Peca,tinta_acrilica,2026-09-09T10:38:05Z,39.0,39.0
8301.000018.0,"NACOR TINTA ACRILICA ECONOMICA-GA 3,6 LT COR 000018-GELO LOTE 95119921",Peca,tinta_acrilica,2026-09-12T13:30:26Z,38.0,38.0
5569,"NACOR TINTA ACRILICA ECONOMICA-GA 3,6 LT COR 000018-GELO LOTE 95119921",UN,tinta_acrilica,2026-09-12T11:14:50Z,44.99,44.99
7899173408804,NACOR TINTA ACRILICA STANDARD-BL 15LT GELO IBRATIN IBRATIN,BL,tinta_acrilica,2026-09-14T13:51:16Z,215.0,215.0
05955,"NINHO DO PASSARO ACR FOSCO BASE T 3,2L SOL E CHUVA TOTAL CORAL 90YR 10/151 4908",GL,tinta_acrilica,2026-09-11T17:11:07Z,297.75,297.75
3278,NUANCE TINTAS BRANCO NEVE REALCOR 15L,UN,tinta_branca,2026-09-11T20:25:33Z,89.0,75.72
52355,ORBI TINTA SPRAY U.G BRANCO,UN,tinta_branca,2026-09-15T18:43:57Z,11.99,11.98
52355,ORBI TINTA SPRAY U.G BRANCO,UN,tinta_spray,2026-09-15T18:43:57Z,11.99,11.98
